Episode;Title;Votes;Rating;Airdate
1;I'm Luffy! The Man Who Will Become the Pirate King!;2710;7.6;20/10/1999
2;The Great Swordsman Appears! Pirate Hunter, Roronoa Zoro;1570;7.7;17/11/1999
3;Morgan vs. Luffy! Who's This Beautiful Young Girl?;1279;7.6;24/11/1999
4;Luffy's Past! The Red-haired Shanks Appears!;1648;8.3;08/12/1999
5;Fear, Mysterious Power! Pirate Clown Captain Buggy!;1103;7.4;15/12/1999
6;Desperate Situation! Beast Tamer Mohji vs. Luffy!;1085;7.6;29/12/1999
7;Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!;1030;7.6;29/12/1999
8;Shousha wa docchi? Akuma no mi no nouryoku taiketsu!;1001;7.7;29/12/1999
9;Seigi no usotsuki? Kyaputen Usoppu;965;7.1;12/01/2000
10;Chijou saikyou no hen na yatsu! Saiminjutsushi Jango;927;7.4;19/01/2000
11;Inbou o abake! Kaizoku shitsuji Kyaputen Kuro;893;7.3;26/01/2000
12;Gekitotsu! Kuroneko kaizokudan sakamichi no daikoubou!;877;7.6;02/02/2000
13;Kyoufu no futarigumi! Nyâban kyoudai vs Zoro;854;7.6;09/02/2000
14;Rufi fukkatsu! Kaya ojousama no kesshi no taikou;837;7.6;16/02/2000
15;Kuro o taose! Otoko Usoppu namida no ketsui!;830;7.4;23/02/2000
16;Kaya o mamore! Usoppu kaizokudan daikatsuyaku!;811;7.6;01/03/2000
17;Ikari bakuhatsu! Kuro vs Rufi kecchaku no yukue!;867;8.0;08/03/2000
18;Anta ga chunjuu! Gaimon to kimyou na nakama;815;6.9;15/03/2000
19;Santouryuu no kako! Zoro to Kuina no chikai!;1983;8.9;22/03/2000
20;Meibutsu kokku! Kaijou resutoran no Sanji;795;7.6;12/04/2000
21;Manukarezaru kyaku! Sanji no meshi to Gin on;765;7.5;12/04/2000
22;Saikyou no kaizoku kantai! Teitoku Don Kurîku;741;7.5;26/04/2000
23;Mamore Baratie! Daikaizoku akaashi no Zefu;748;7.7;03/05/2000
24;Tama no me no Mihôku! Kenzoku Zoro umi ni chiru;2315;9.1;10/05/2000
25;Hissatsu ashiwaza sakuretsu! Sanji vs Teppeki no Pâru;737;7.5;17/05/2000
26;Zefu to Sanji no yume Maboroshi no ôru burû;1260;8.5;24/05/2000
27;Reitetsu hijou no kijin Kaizoku kantai soutaichou Gin;733;7.5;31/05/2000
28;Shinaneeyo! Gekitou Rufi vs Kurîku!;724;7.6;07/06/2000
29;Shitou no Ketchaku! Hara ni Kukutta Ippon no Yari!;724;7.8;21/06/2000
30;Tabidachi! Umi no kokku wa Rufi to tomoni;845;8.2;28/06/2000
31;Higashi no Umi Saiaku no Otoko! Gyojin Kaizoku Arlong!;701;7.6;12/08/2000
32;Cocoyashi Mura no Majo! Arlong no Onna Kanbu;687;7.7;19/08/2000
33;Usopp Shisu?! Luffy Jouriku wa Mada?;779;7.8;19/08/2000
